fare_type,year_month,boardings,revenue,pct_of_monthly_boardings
Adult,2024-01,6875.0,17179.27,55.4212
Student,2024-01,1856.0,2788.88,14.9617
Senior,2024-01,1478.0,1768.2,11.9146
Pass Holder,2024-01,1216.0,70.8,9.8025
Child,2024-01,980.0,977.24,7.9
Adult,2024-02,6473.0,16192.88,55.8113
Student,2024-02,1754.0,2628.32,15.1233
Senior,2024-02,1349.0,1613.4,11.6313
Pass Holder,2024-02,1114.0,62.5,9.6051
Child,2024-02,908.0,908.27,7.8289
Adult,2024-03,6815.0,17032.73,55.0529
Student,2024-03,1908.0,2852.02,15.4132
Senior,2024-03,1468.0,1762.74,11.8588
Pass Holder,2024-03,1232.0,69.52,9.9523
Child,2024-03,956.0,957.17,7.7228
Adult,2024-04,6605.0,16514.58,55.809
Student,2024-04,1706.0,2549.86,14.4149
Senior,2024-04,1416.0,1705.18,11.9645
Pass Holder,2024-04,1215.0,78.61,10.2662
Child,2024-04,893.0,894.0,7.5454
Adult,2024-05,6865.0,17164.21,54.6925
Student,2024-05,1849.0,2771.13,14.7307
Senior,2024-05,1527.0,1822.9,12.1654
Pass Holder,2024-05,1275.0,72.82,10.1577
Child,2024-05,1036.0,1029.11,8.2537
Adult,2024-06,6645.0,16616.47,55.972
Student,2024-06,1740.0,2599.76,14.6563
Senior,2024-06,1344.0,1611.56,11.3208
Pass Holder,2024-06,1182.0,70.09,9.9562
Child,2024-06,961.0,958.6,8.0947
