mode,year_month,total_boardings,total_revenue,route_count,boardings_per_route,mom_growth_pct
Bus,2024-01,7141.0,13171.17,34,210.03,
Bus,2024-02,6550.0,12088.91,34,192.65,-8.2762
Bus,2024-03,6963.0,12728.86,34,204.79,6.3053
Bus,2024-04,6730.0,12360.48,34,197.94,-3.3463
Bus,2024-05,7171.0,13082.33,34,210.91,6.5527
Bus,2024-06,6568.0,12091.79,34,193.18,-8.4089
Metro,2024-01,1200.0,2165.75,6,200.0,
Metro,2024-02,1068.0,2021.18,6,178.0,-11.0
Metro,2024-03,1218.0,2184.74,6,203.0,14.0449
Metro,2024-04,1124.0,2043.15,6,187.33,-7.7176
Metro,2024-05,1229.0,2254.34,6,204.83,9.3416
Metro,2024-06,1204.0,2213.13,6,200.67,-2.0342
Tram,2024-01,4064.0,7447.47,20,203.2,
Tram,2024-02,3980.0,7295.28,20,199.0,-2.0669
Tram,2024-03,4198.0,7760.58,20,209.9,5.4774
Tram,2024-04,3981.0,7338.6,20,199.05,-5.1691
Tram,2024-05,4152.0,7523.5,20,207.6,4.2954
Tram,2024-06,4100.0,7551.56,20,205.0,-1.2524
