time_period,mode,total_boardings,avg_load_factor,pct_of_mode_total
AM peak (07-09),Bus,12074.0,0.0135,29.3607
Midday (10-15),Bus,10173.0,0.0135,24.738
PM Peak(16-18),Bus,13028.0,0.0134,31.6806
Evening(19-23),Bus,4088.0,0.0135,9.9409
Early (04-06),Bus,1398.0,0.0133,3.3996
Night(00-03),Bus,362.0,0.0126,0.8803
AM peak (07-09),Metro,2081.0,0.0018,29.5471
Midday (10-15),Metro,1749.0,0.0018,24.8332
PM Peak(16-18),Metro,2228.0,0.0018,31.6342
Evening(19-23),Metro,696.0,0.0018,9.8822
Early (04-06),Metro,227.0,0.0018,3.2231
Night(00-03),Metro,62.0,0.0019,0.8803
AM peak (07-09),Tram,7117.0,0.0054,29.0787
Midday (10-15),Tram,6056.0,0.0054,24.7436
PM Peak(16-18),Tram,7732.0,0.0054,31.5914
Evening(19-23),Tram,2487.0,0.0054,10.1614
Early (04-06),Tram,867.0,0.0054,3.5424
Night(00-03),Tram,216.0,0.0056,0.8825
