hour,day_type,total_boardings,avg_boardings_per_day,pct_of_daily_total
0,weekday,125.0,0.96,0.2411
1,weekday,98.0,0.75,0.189
2,weekday,141.0,1.08,0.2719
3,weekday,105.0,0.81,0.2025
4,weekday,151.0,1.16,0.2912
5,weekday,318.0,2.45,0.6133
6,weekday,1333.0,10.25,2.5707
7,weekday,4122.0,31.71,7.9494
8,weekday,6344.0,48.8,12.2346
9,weekday,4692.0,36.09,9.0487
10,weekday,2558.0,19.68,4.9332
11,weekday,1907.0,14.67,3.6777
12,weekday,2025.0,15.58,3.9053
13,weekday,1901.0,14.62,3.6661
14,weekday,1899.0,14.61,3.6623
15,weekday,2410.0,18.54,4.6478
16,weekday,4156.0,31.97,8.015
17,weekday,6361.0,48.93,12.2674
18,weekday,5929.0,45.61,11.4342
19,weekday,3469.0,26.68,6.6901
20,weekday,1174.0,9.03,2.2641
21,weekday,368.0,2.83,0.7097
22,weekday,149.0,1.15,0.2874
23,weekday,118.0,0.91,0.2276
0,weekend,40.0,0.77,0.1924
1,weekend,41.0,0.79,0.1972
2,weekend,29.0,0.56,0.1395
3,weekend,61.0,1.17,0.2934
4,weekend,52.0,1.0,0.2501
5,weekend,125.0,2.4,0.6013
6,weekend,513.0,9.87,2.4678
7,weekend,1618.0,31.12,7.7833
8,weekend,2613.0,50.25,12.5698
9,weekend,1883.0,36.21,9.0581
10,weekend,1022.0,19.65,4.9163
11,weekend,788.0,15.15,3.7906
12,weekend,841.0,16.17,4.0456
13,weekend,828.0,15.92,3.9831
14,weekend,814.0,15.65,3.9157
15,weekend,985.0,18.94,4.7383
16,weekend,1653.0,31.79,7.9517
17,weekend,2521.0,48.48,12.1272
18,weekend,2368.0,45.54,11.3912
19,weekend,1321.0,25.4,6.3546
20,weekend,469.0,9.02,2.2561
21,weekend,115.0,2.21,0.5532
22,weekend,43.0,0.83,0.2069
23,weekend,45.0,0.87,0.2165
