route_id,route_name,mode,district,year_month,total_boardings,total_revenue,boardings_per_km,avg_load_factor
R032,Thomas Dam Line,Metro,Centro,2024-01,250.0,419.61,10.64,0.0019
R048,Eric Track Line,Bus,Eastfield,2024-01,247.0,456.7,24.22,0.0138
R039,Carlson Mountain Line,Bus,Centro,2024-01,246.0,434.08,58.57,0.014
R051,Daniel Lake Line,Bus,Centro,2024-01,242.0,445.65,49.39,0.014
R031,Wilkerson Row Line,Tram,Centro,2024-01,235.0,434.16,13.91,0.0055
R021,Martin Knoll Line,Tram,Westend,2024-01,230.0,436.57,9.75,0.0057
R026,Gabrielle Ville Line,Bus,Riverside,2024-01,228.0,396.85,9.34,0.0138
R041,Erin Crescent Line,Bus,Northgate,2024-01,225.0,430.49,26.47,0.0139
R010,Moore Track Line,Bus,Hillcrest,2024-01,224.0,416.5,14.27,0.0135
R020,Chavez Village Line,Bus,Old Town,2024-01,224.0,417.7,22.4,0.0134
R013,Roman Stream Line,Bus,Northgate,2024-01,219.0,418.72,13.77,0.0132
R015,Andrea Village Line,Bus,Hillcrest,2024-01,219.0,423.11,15.99,0.0139
R049,Amber Tunnel Line,Tram,Eastfield,2024-01,219.0,400.58,14.9,0.0054
R057,Brandt Plains Line,Bus,Southbank,2024-01,219.0,420.62,24.33,0.014
R001,Angel Harbor Line,Tram,Harbourside,2024-01,218.0,389.39,11.01,0.0054
R017,Brandon Forks Line,Bus,Centro,2024-01,217.0,404.72,9.56,0.0143
R016,Ray Squares Line,Bus,Westend,2024-01,216.0,414.64,20.97,0.0138
R044,Smith Stravenue Line,Bus,Westend,2024-01,213.0,394.65,10.6,0.0133
R009,Helen Junctions Line,Bus,Hillcrest,2024-01,212.0,405.0,16.83,0.0137
R007,Robinson Radial Line,Tram,Old Town,2024-01,211.0,382.38,13.35,0.0054
R027,Jeremy Bypass Line,Bus,Centro,2024-01,211.0,385.77,35.76,0.0131
R029,Robin Port Line,Bus,Hillcrest,2024-01,211.0,397.55,37.02,0.0142
R038,Carlson Lights Line,Bus,Westend,2024-01,211.0,392.41,32.97,0.0132
R046,William Coves Line,Tram,Centro,2024-01,211.0,388.9,17.3,0.0058
R014,Herrera Lane Line,Tram,Harbourside,2024-01,209.0,375.57,59.71,0.0052
R037,Eric Estate Line,Bus,Westend,2024-01,207.0,387.48,9.81,0.0134
R042,Mack Junctions Line,Tram,Centro,2024-01,205.0,363.55,39.42,0.0053
R056,Joseph Well Line,Tram,Harbourside,2024-01,205.0,383.04,10.25,0.0054
R059,Kim Path Line,Bus,Westend,2024-01,205.0,343.73,10.15,0.0135
R036,Davis Causeway Line,Bus,Riverside,2024-01,204.0,377.76,9.71,0.0134
R060,Martinez Fork Line,Bus,Centro,2024-01,204.0,362.97,36.43,0.0138
R054,Tiffany Place Line,Tram,Centro,2024-01,203.0,389.46,14.0,0.0057
R003,Erica Plains Line,Metro,Southbank,2024-01,202.0,360.47,46.98,0.0018
R018,Galloway Walk Line,Bus,Eastfield,2024-01,202.0,381.26,11.54,0.0135
R030,Lewis Parks Line,Tram,Northgate,2024-01,202.0,384.71,8.42,0.0052
R052,Allen Garden Line,Bus,Northgate,2024-01,202.0,389.46,10.0,0.0131
R028,Morales Circles Line,Bus,Parkview,2024-01,199.0,353.28,26.89,0.013
R035,Cox Dam Line,Bus,Old Town,2024-01,198.0,380.58,11.45,0.0137
R053,Christopher Oval Line,Tram,Riverside,2024-01,198.0,383.79,38.82,0.0053
R005,Clayton Fort Line,Bus,Unknown,2024-01,197.0,347.0,39.4,0.0138
R034,Burgess Meadow Line,Bus,Old Town,2024-01,197.0,345.71,8.91,0.0124
R045,Stanton Track Line,Tram,Westend,2024-01,197.0,346.14,14.92,0.005
R011,Garcia Light Line,Bus,Hillcrest,2024-01,196.0,355.75,15.68,0.0131
R025,Mayo Route Line,Tram,Southbank,2024-01,195.0,339.76,28.26,0.0052
