stop_id,stop_name,district,zone,has_shelter,total_boardings,rank_within_district
S0047,Joseph Coves Stop,Centro,Zone 3,False,206.0,1
S0323,Brandon Camp Stop,Centro,Zone 1,False,201.0,2
S0014,James Plain Stop,Centro,Zone 3,False,200.0,3
S0394,Tucker Mills Stop,Centro,Zone 2,False,199.0,4
S0103,Jennifer Lights Stop,Centro,Zone 1,False,196.0,5
S0314,Davis Locks Stop,Centro,Zone 2,True,196.0,5
S0021,Lewis Locks Stop,Centro,Zone 3,False,195.0,7
S0186,James Streets Stop,Centro,Zone 2,False,195.0,7
S0192,Terry Crossroad Stop,Centro,Zone 3,False,194.0,9
S0350,Thomas Tunnel Stop,Centro,Zone 1,False,193.0,10
S0391,Nicole Drives Stop,Centro,Zone 1,False,192.0,11
S0037,Emily Hills Stop,Centro,Zone 1,True,190.0,12
S0043,Moore Village Stop,Centro,Zone 2,False,188.0,13
S0342,Mark Drive Stop,Centro,Zone 2,False,187.0,14
S0347,Brianna Brook Stop,Centro,Zone 1,False,186.0,15
S0179,Kevin Prairie Stop,Centro,Zone 2,False,185.0,16
S0304,Bethany Street Stop,Centro,Zone 3,False,185.0,16
S0042,Natasha Land Stop,Centro,Zone 1,True,184.0,18
S0215,Deborah Grove Stop,Centro,Zone 3,False,184.0,18
S0209,Eric Lodge Stop,Centro,Zone 1,True,183.0,20
S0052,Williams Isle Stop,Centro,Zone 1,False,179.0,21
S0157,Laura Port Stop,Centro,Zone 2,False,178.0,22
S0252,Michelle Harbor Stop,Centro,Zone 2,False,178.0,22
S0349,Fox Summit Stop,Centro,Zone 1,False,178.0,22
S0177,West Brook Stop,Centro,Zone 1,False,176.0,25
S0231,Mark Square Stop,Centro,Zone 1,False,176.0,25
S0337,Davis Forest Stop,Centro,Zone 2,False,176.0,25
S0288,Santana Springs Stop,Centro,Zone 3,True,175.0,28
S0309,Jonathan Views Stop,Centro,Zone 1,True,175.0,28
S0219,Lyons Groves Stop,Centro,Zone 2,False,172.0,30
S0002,Brianna Avenue Stop,Centro,Zone 3,True,171.0,31
S0386,Jones Streets Stop,Centro,Zone 1,False,166.0,32
S0232,Roberts Locks Stop,Centro,Zone 3,False,165.0,33
S0384,Dorsey Keys Stop,Centro,Zone 2,False,163.0,34
S0216,Charles Expressway Stop,Centro,Zone 2,False,160.0,35
S0194,Harrison Mill Stop,Centro,Zone 1,False,158.0,36
S0185,Julia Track Stop,Centro,Zone 2,False,156.0,37
S0380,Wilson Harbors Stop,Centro,Zone 2,True,156.0,37
S0338,Brent Isle Stop,Centro,Zone 2,True,154.0,39
S0366,Perry Court Stop,Eastfield,Zone 1,False,201.0,1
S0127,Molina Walk Stop,Eastfield,Zone 2,False,200.0,2
S0152,Johnston Lane Stop,Eastfield,Zone 3,False,200.0,2
S0145,Mary Road Stop,Eastfield,Zone 3,False,198.0,4
S0212,Warner Motorway Stop,Eastfield,Zone 1,False,197.0,5
S0328,Nicole Shoal Stop,Eastfield,Zone 1,True,197.0,5
S0045,Elizabeth Plaza Stop,Eastfield,Zone 3,False,196.0,7
S0297,Renee Summit Stop,Eastfield,Zone 2,False,195.0,8
S0195,Lopez Center Stop,Eastfield,Zone 1,False,193.0,9
S0221,Pamela Street Stop,Eastfield,Zone 2,False,193.0,9
S0062,Elizabeth Knoll Stop,Eastfield,Zone 1,True,192.0,11
S0163,Jessica Run Stop,Eastfield,Zone 1,False,190.0,12
S0079,Daniel Mews Stop,Eastfield,Zone 1,False,189.0,13
S0171,Salinas Junctions Stop,Eastfield,Zone 3,True,185.0,14
