vehicle_id,vehicle_type,depot,vehicle_age_band,total_boardings,active_days,avg_load_factor
V0016,Metro Set,Central Depot,6-10,327.0,144,0.0016
V0030,Metro Set,East Depot,11-20,358.0,149,0.0016
V0113,Metro Set,North Depot,20+,348.0,160,0.0016
V0078,Metro Set,Central Depot,0-5,319.0,145,0.0016
V0024,Metro Set,Riverside Depot,20+,375.0,153,0.0017
V0051,Metro Set,Riverside Depot,20+,313.0,142,0.0017
V0164,Metro Set,Riverside Depot,0-5,324.0,139,0.0017
V0138,Metro Set,East Depot,20+,320.0,151,0.0017
V0067,Metro Set,Central Depot,20+,352.0,151,0.0018
V0073,Metro Set,Central Depot,6-10,350.0,156,0.0018
V0012,Metro Set,East Depot,20+,315.0,142,0.0018
V0112,Metro Set,North Depot,20+,308.0,148,0.0018
V0131,Metro Set,Riverside Depot,20+,349.0,156,0.0018
V0151,Metro Set,East Depot,20+,346.0,157,0.0018
V0041,Metro Set,East Depot,20+,330.0,149,0.0018
V0057,Metro Set,North Depot,Unknown,338.0,152,0.0018
V0062,Metro Set,North Depot,20+,348.0,148,0.0021
V0020,Metro Set,Central Depot,6-10,316.0,143,0.0021
V0015,Metro Set,East Depot,6-10,322.0,149,0.0021
V0137,Metro Set,East Depot,6-10,350.0,151,0.0021
V0154,Metro Set,Riverside Depot,11-20,335.0,151,0.0022
V0103,Tram,Central Depot,20+,636.0,176,0.0048
V0122,Tram,East Depot,0-5,612.0,176,0.0048
V0111,Tram,North Depot,0-5,673.0,175,0.0048
V0118,Tram,Central Depot,20+,649.0,175,0.0048
V0177,Tram,East Depot,11-20,666.0,175,0.0048
V0128,Tram,North Depot,11-20,636.0,171,0.0048
V0159,Tram,East Depot,11-20,606.0,173,0.005
V0007,Tram,East Depot,0-5,609.0,175,0.005
V0044,Tram,Central Depot,0-5,623.0,176,0.005
V0018,Tram,East Depot,20+,617.0,173,0.005
V0069,Tram,East Depot,6-10,633.0,172,0.0051
V0038,Tram,East Depot,11-20,655.0,178,0.0051
V0028,Tram,East Depot,11-20,641.0,171,0.0051
V0142,Tram,North Depot,20+,627.0,174,0.0051
V0153,Tram,East Depot,20+,626.0,175,0.0051
V0043,Tram,East Depot,0-5,634.0,174,0.0052
V0150,Tram,North Depot,Unknown,593.0,174,0.0053
V0049,Tram,Central Depot,20+,609.0,175,0.0053
V0063,Tram,East Depot,20+,635.0,176,0.0054
V0022,Tram,Riverside Depot,11-20,642.0,176,0.0054
V0076,Tram,East Depot,0-5,652.0,174,0.0055
V0021,Tram,Riverside Depot,11-20,656.0,177,0.0055
V0013,Tram,Riverside Depot,6-10,647.0,178,0.0055
V0141,Tram,East Depot,11-20,642.0,173,0.0055
V0042,Tram,Riverside Depot,6-10,666.0,175,0.0056
V0101,Tram,Riverside Depot,20+,661.0,179,0.0056
V0031,Tram,Central Depot,11-20,669.0,178,0.0057
V0036,Tram,North Depot,11-20,649.0,177,0.0058
V0040,Tram,Central Depot,20+,650.0,178,0.0058
V0173,Tram,Central Depot,20+,614.0,172,0.0058
V0139,Tram,North Depot,0-5,668.0,178,0.0058
V0116,Tram,Riverside Depot,6-10,697.0,176,0.0058
V0056,Tram,East Depot,6-10,670.0,175,0.0059
V0130,Tram,Central Depot,20+,593.0,173,0.0061
V0176,Tram,North Depot,20+,743.0,179,0.0061
V0053,Tram,Central Depot,20+,669.0,177,0.0061
V0105,Tram,North Depot,20+,678.0,176,0.0061
V0004,Tram,Central Depot,11-20,629.0,177,0.0063
V0035,Articulated Bus,East Depot,20+,361.0,153,0.0078
V0161,Articulated Bus,North Depot,20+,331.0,154,0.0078
V0089,Articulated Bus,East Depot,20+,334.0,148,0.0079
V0100,Articulated Bus,Central Depot,11-20,352.0,153,0.008
V0115,Articulated Bus,East Depot,20+,326.0,149,0.0081
