stop_id,stop_name,district,zone,has_shelter
S0001,matthew radial stop,Riverside,Zone 2,N
S0002,Brianna Avenue Stop,Centro,Zone 3,1
S0003,jean circle stop,Northgate,Zone 2,0
S0004,Carlos Bypass Stop,Old Town,Zone 1,Y
S0005,JONES FREEWAY STOP,Riverside,Zone 2,N
S0006,CALDWELL FOREST STOP,Old Town,Zone 3,Y
S0007,Jennifer Ports Stop,Parkview,Zone 1,0
S0008,Sanchez Mountains Stop,Hillcrest,Zone 1,N
S0009,Lee Court Stop,Riverside,Zone 3,0
S0010,  Gomez Loop Stop  ,Old Town,Zone 2,Y
S0011,  Shields Center Stop  ,Westend,Zone 1,Y
S0012,BRUCE STREAM STOP,Southbank,Zone 1,Y
S0013,Mcbride Coves Stop,Hillcrest,Zone 1,0
S0014,  James Plain Stop  ,Centro,Zone 3,0
S0015,taylor falls stop,Harbourside,Zone 1,0
S0016,FORD WELL STOP,Westend,Zone 1,0
S0017,Scott Wall Stop,Riverside,Zone 2,1
S0018,brent plains stop,Old Town,Zone 1,1
S0019,  Tanya Terrace Stop  ,Eastfield,Zone 1,N
S0020,  Gabriel Oval Stop  ,Old Town,Zone 1,0
S0021,Lewis Locks Stop,Centro,Zone 3,Y
S0022,  Franklin Alley Stop  ,Parkview,Zone 1,N
S0023,BAKER TUNNEL STOP,Northgate,Zone 3,1
S0024,Mitchell Square Stop,Harbourside,Zone 1,0
S0025,Moore Hill Stop,Parkview,Zone 2,Y
S0026,tanya prairie stop,Hillcrest,Zone 3,N
S0027,Julie Centers Stop,Harbourside,Zone 1,1
S0028,Breanna Parkway Stop,Old Town,Zone 1,Y
S0029,BRIAN PASS STOP,Riverside,Zone 3,N
S0030,melissa cliff stop,Northgate,Zone 1,0
S0031,emma freeway stop,Northgate,Zone 2,N
S0032,Wilson Port Stop,Southbank,Zone 1,N
S0033,  Beth Canyon Stop  ,Westend,Zone 2,Y
S0034,  Robert Prairie Stop  ,Southbank,Zone 1,0
S0035,donovan ford stop,Southbank,Zone 1,0
S0036,  Allen Locks Stop  ,Harbourside,Zone 1,0
S0037,Emily Hills Stop,Centro,Zone 1,1
S0038,  Stewart Terrace Stop  ,Northgate,Zone 1,Y
S0039,  Albert Road Stop  ,Eastfield,Zone 1,N
S0040,CHARLES FOREST STOP,Riverside,Zone 1,0
S0041,ANDERSON KEYS STOP,Parkview,Zone 1,Y
S0042,Natasha Land Stop,Centro,Zone 1,1
S0043,  Moore Village Stop  ,Centro,Zone 2,0
S0044,  Carr Valley Stop  ,Northgate,Zone 2,Y
S0045,Elizabeth Plaza Stop,Eastfield,Zone 3,0
S0046,  Huynh Cove Stop  ,Riverside,Zone 1,1
S0047,Joseph Coves Stop,Centro,Zone 3,N
S0048,  Joseph Rapids Stop  ,Southbank,Zone 1,1
S0049,jennifer ford stop,Riverside,Zone 1,0
S0050,WAGNER GLEN STOP,Hillcrest,Zone 1,0
S0051,CHRISTOPHER MANORS STOP,Riverside,Zone 1,1
S0052,Williams Isle Stop,Centro,Zone 1,Y
S0053,DANA GREENS STOP,Harbourside,Zone 2,1
S0054,Joyce Plaza Stop,Southbank,Zone 1,N
S0055,HOFFMAN CREEK STOP,Riverside,Zone 2,0
S0056,sierra spurs stop,Riverside,Zone 2,N
S0057,AMY VILLAGE STOP,Parkview,Zone 1,1
S0058,  Aguilar Drive Stop  ,Old Town,Zone 2,N
